,run,cluster_0,cluster_1,cluster_2,cluster_3,cluster_4,cluster_5,cluster_6,cluster_7,cluster_8,cluster_9,cluster_10,cluster_11,cluster_12,cluster_13,cluster_14,cluster_15,cluster_16,cluster_17,cluster_18,cluster_19,cluster_20,cluster_21,cluster_22,cluster_23,cluster_24,cluster_25,cluster_26,cluster_27,cluster_28,cluster_29,cluster_30,cluster_31,cluster_32,cluster_33,cluster_34
0,020000010808_S3_L001,0,0,78,0,15,13,7,1,0,55,0,44,0,3,50,11,0,4,0,1,0,0,0,1,0,0,6,0,3,1,0,0,0,0,0
1,270000870808_S37_L001,0,0,2,0,1,0,0,0,0,6,1,65,0,1,56,9,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
2,050002090808_S74_L001,7,0,164,0,1,30,31,105,1,37,0,63,4,37,65,24,11,14,3,5,3,1,0,0,0,0,5,0,6,2,2,2,1,2,0
3,330001070808_S180_L002,0,0,150,0,0,29,15,98,1,22,2,61,0,13,30,24,0,4,0,2,0,0,0,0,0,0,2,0,7,6,3,1,0,1,0
4,050000200808_S157_L002,0,0,139,0,0,17,26,182,1,69,1,107,0,37,48,23,6,18,0,2,4,0,0,0,0,0,8,0,11,7,3,0,0,0,0
5,020003890808_S67_L001,0,0,371,0,0,27,62,386,3,68,0,81,0,34,181,49,0,22,1,10,1,3,0,1,2,0,11,0,16,6,6,2,0,5,0
6,020000360808_S102_L002,2,0,296,0,0,76,14,128,0,91,3,230,0,47,22,54,11,12,3,4,2,0,0,0,1,0,12,0,16,11,5,0,1,1,0
7,330000410808_S109_L002,0,0,184,0,0,18,47,153,0,73,1,33,0,85,68,27,10,20,1,2,1,0,0,0,0,0,3,0,17,4,2,4,1,0,0
8,440000790808_S68_L001,0,0,165,0,0,3,13,117,0,8,0,12,0,14,66,26,2,4,5,3,1,4,0,0,0,0,3,0,11,3,2,0,0,2,0
9,270000050808_S111_L002,0,0,105,0,0,26,53,248,0,88,5,280,0,15,25,28,0,6,2,5,1,0,0,0,0,0,12,0,5,5,2,0,0,1,0
10,500000530808_S147_L002,0,0,66,0,0,2,7,51,0,21,2,136,0,5,16,5,1,0,2,0,0,0,0,0,0,0,1,0,2,2,1,0,0,0,0
11,020000700808_S134_L002,0,0,490,0,0,17,57,496,0,98,1,362,0,60,167,59,4,8,11,19,2,1,0,1,0,0,6,0,25,7,4,0,0,5,0
12,330000950808_S132_L002,0,0,445,0,0,150,66,343,0,70,2,143,0,38,142,29,3,21,2,16,4,1,0,1,1,0,3,0,11,3,0,2,2,5,0
