run,number_of_clones,number_of_reads
440000250808_S92_L001.clonotypes.TRB.txt,35,56
050001830808_S76_L001.clonotypes.TRB.txt,488,673
050000090808_S60_L001.clonotypes.TRA.txt,1454,2194
780003880808_S83_L001.clonotypes.TRA.txt,377,698
440003140808_S50_L001.clonotypes.TRB.txt,2028,4242
670005320808_S128_L002.clonotypes.TRB.txt,6582,7148262
780004790808_S155_L002.clonotypes.TRA.txt,7681,523951
670001330808_S187_L002.clonotypes.TRB.txt,7856,460075
340003640808_S14_L001.clonotypes.TRB.txt,13910,2620133
410004360808_S119_L002.clonotypes.TRB.txt,9968,4094280
780008450101_S23_L001.clonotypes.TRA.txt,16749,3118710
020000280808_S59_L001.clonotypes.TRA.txt,12711,3127923
630002240807_S133_L002.clonotypes.TRB.txt,17562,5034014
760000320808_S106_L002.clonotypes.TRB.txt,12078,4072315
780005240101_S42_L001.clonotypes.TRB.txt,17039,4068434
340003780808_S26_L001.clonotypes.TRB.txt,13125,3458024
050000630101_S104_L002.clonotypes.TRB.txt,13817,4079866
780004320807_S13_L001.clonotypes.TRA.txt,0,0
730002210808_S51_L001.clonotypes.TRB.txt,12316,4501449
780004780101_S33_L001.clonotypes.TRA.txt,22450,3054780
780005260808_S66_L001.clonotypes.TRB.txt,3374,2335186
640001780808_S30_L001.clonotypes.TRB.txt,18158,6845685
640002350808_S79_L001.clonotypes.TRB.txt,18230,4218696
020000700808_S134_L002.clonotypes.TRB.txt,15894,6853540
500003950808_S31_L001.clonotypes.TRA.txt,12245,2706128
440000960808_S80_L001.clonotypes.TRB.txt,6914,544024
210003310808_S112_L002.clonotypes.TRB.txt,7058,3874258
500000910808_S186_L002.clonotypes.TRA.txt,21677,8216866
270000110808_S166_L002.clonotypes.TRB.txt,18728,5100425
640003570808_S26_L001.clonotypes.TRB.txt,23317,6661625
210003270101_S66_L001.clonotypes.TRA.txt,23315,3277454
p17_12_DNA_S28_L001.clonotypes.TRA.txt,2394,3393
260002910101_S9_L001.clonotypes.TRA.txt,36576,4819288
780004020807_S91_L001.clonotypes.TRA.txt,25000,870746
550001850808_S122_L002.clonotypes.TRA.txt,17293,6044712
780003310808_S68_L001.clonotypes.TRA.txt,11104,3089936
690000370808_S24_L001.clonotypes.TRA.txt,18856,8696426
050000740808_S184_L002.clonotypes.TRA.txt,8979,106438
050000200808_S157_L002.clonotypes.TRA.txt,25478,3706454
210002850808_S120_L002.clonotypes.TRA.txt,38457,3772309
640002750808_S71_L001.clonotypes.TRB.txt,17265,6016347
670004620101_S166_L002.clonotypes.TRA.txt,33710,2987172
210002540808_S134_L002.clonotypes.TRB.txt,27771,9814401
330002700808_S72_L001.clonotypes.TRB.txt,927,2645
050001960101_S120_L002.clonotypes.TRA.txt,32762,3053941
270000030808_S190_L002.clonotypes.TRA.txt,34880,3939787
590002670101_S187_L002.clonotypes.TRA.txt,35141,3087460
440000810101_S55_L001.clonotypes.TRA.txt,47260,3669106
260002950101_S7_L001.clonotypes.TRB.txt,14890,4162214
730004350101_S112_L002.clonotypes.TRB.txt,41471,4533204
640003560808_S18_L001.clonotypes.TRA.txt,20528,701651
p18_7_DNA_S23_L002.clonotypes.TRA.txt,22425,2692196
p18_26_DNA_S42_L002.clonotypes.TRA.txt,68088,14069902
